system:time_start,SoilTemp00_10cm_tavg
"Jan 1, 2000",289.662
"Feb 1, 2000",290.439
"Mar 1, 2000",290.025
"Apr 1, 2000",289.947
"May 1, 2000",289.19
"Jun 1, 2000",288.843
"Jul 1, 2000",288.772
"Aug 1, 2000",289.773
"Sep 1, 2000",289.791
"Oct 1, 2000",289.478
"Nov 1, 2000",289.119
"Dec 1, 2000",289.738
"Jan 1, 2001",290.29
"Feb 1, 2001",291.111
"Mar 1, 2001",290.751
"Apr 1, 2001",290.996
"May 1, 2001",290.075
"Jun 1, 2001",289.622
"Jul 1, 2001",290.017
"Aug 1, 2001",290.669
"Sep 1, 2001",290.623
"Oct 1, 2001",290.612
"Nov 1, 2001",290.013
"Dec 1, 2001",290.017
"Jan 1, 2002",291.313
"Feb 1, 2002",292.144
"Mar 1, 2002",291.729
"Apr 1, 2002",290.086
"May 1, 2002",289.839
"Jun 1, 2002",288.803
"Jul 1, 2002",289.431
"Aug 1, 2002",290.084
"Sep 1, 2002",290.885
"Oct 1, 2002",290.421
"Nov 1, 2002",289.629
"Dec 1, 2002",290.384
"Jan 1, 2003",291.919
"Feb 1, 2003",292.315
"Mar 1, 2003",291.523
"Apr 1, 2003",290.497
"May 1, 2003",289.929
"Jun 1, 2003",289.426
"Jul 1, 2003",289.85
"Aug 1, 2003",290.503
"Sep 1, 2003",290.831
"Oct 1, 2003",290.056
"Nov 1, 2003",289.481
"Dec 1, 2003",289.539
"Jan 1, 2004",290.368
"Feb 1, 2004",291.584
"Mar 1, 2004",291.836
"Apr 1, 2004",290.526
"May 1, 2004",289.437
"Jun 1, 2004",288.756
"Jul 1, 2004",288.915
"Aug 1, 2004",289.896
"Sep 1, 2004",290.137
"Oct 1, 2004",289.822
"Nov 1, 2004",289.424
"Dec 1, 2004",289.716
"Jan 1, 2005",290.613
"Feb 1, 2005",291.869
"Mar 1, 2005",292.152
"Apr 1, 2005",291.378
"May 1, 2005",289.776
"Jun 1, 2005",289.57
"Jul 1, 2005",289.8
"Aug 1, 2005",290.567
"Sep 1, 2005",291.159
"Oct 1, 2005",289.957
"Nov 1, 2005",289.327
"Dec 1, 2005",289.515
"Jan 1, 2006",290.299
"Feb 1, 2006",291.889
"Mar 1, 2006",290.661
"Apr 1, 2006",289.792
"May 1, 2006",289.19
"Jun 1, 2006",288.881
"Jul 1, 2006",289.466
"Aug 1, 2006",290.471
"Sep 1, 2006",290.885
"Oct 1, 2006",290.364
"Nov 1, 2006",289.447
"Dec 1, 2006",289.899
"Jan 1, 2007",291.394
"Feb 1, 2007",291.956
"Mar 1, 2007",291.52
"Apr 1, 2007",290.564
"May 1, 2007",289.912
"Jun 1, 2007",288.951
"Jul 1, 2007",289.813
"Aug 1, 2007",290.219
"Sep 1, 2007",290.412
"Oct 1, 2007",289.607
"Nov 1, 2007",289.421
"Dec 1, 2007",289.329
"Jan 1, 2008",290.511
"Feb 1, 2008",290.953
"Mar 1, 2008",290.562
"Apr 1, 2008",290.127
"May 1, 2008",289.528
"Jun 1, 2008",289.042
"Jul 1, 2008",288.902
"Aug 1, 2008",289.686
"Sep 1, 2008",290.064
"Oct 1, 2008",289.675
"Nov 1, 2008",289.093
"Dec 1, 2008",289.289
"Jan 1, 2009",290.051
"Feb 1, 2009",290.497
"Mar 1, 2009",290.165
"Apr 1, 2009",290.21
"May 1, 2009",289.596
"Jun 1, 2009",289.28
"Jul 1, 2009",289.718
"Aug 1, 2009",290.823
"Sep 1, 2009",291.4
"Oct 1, 2009",290.517
"Nov 1, 2009",290.118
"Dec 1, 2009",290.603
"Jan 1, 2010",291.853
"Feb 1, 2010",293.312
"Mar 1, 2010",292.605
"Apr 1, 2010",290.763
"May 1, 2010",290.185
"Jun 1, 2010",289.307
"Jul 1, 2010",289.086
"Aug 1, 2010",289.48
"Sep 1, 2010",289.633
"Oct 1, 2010",289.334
"Nov 1, 2010",288.422
"Dec 1, 2010",288.598
"Jan 1, 2011",289.756
"Feb 1, 2011",289.667
"Mar 1, 2011",289.367
"Apr 1, 2011",289.404
"May 1, 2011",288.801
"Jun 1, 2011",288.941
"Jul 1, 2011",288.936
"Aug 1, 2011",289.612
"Sep 1, 2011",289.86
"Oct 1, 2011",288.814
"Nov 1, 2011",288.631
"Dec 1, 2011",289.031
"Jan 1, 2012",289.612
"Feb 1, 2012",290.189
"Mar 1, 2012",290.005
"Apr 1, 2012",289.065
"May 1, 2012",288.879
"Jun 1, 2012",288.841
"Jul 1, 2012",289.262
"Aug 1, 2012",289.805
"Sep 1, 2012",290.413
"Oct 1, 2012",289.503
"Nov 1, 2012",289.802
"Dec 1, 2012",289.701
"Jan 1, 2013",290.997
"Feb 1, 2013",290.878
"Mar 1, 2013",291.023
"Apr 1, 2013",290.885
"May 1, 2013",289.453
"Jun 1, 2013",289.236
"Jul 1, 2013",289.209
"Aug 1, 2013",289.902
"Sep 1, 2013",290.403
"Oct 1, 2013",290.002
"Nov 1, 2013",288.995
"Dec 1, 2013",289.322
"Jan 1, 2014",290.296
"Feb 1, 2014",290.783
"Mar 1, 2014",290.146
"Apr 1, 2014",290.513
"May 1, 2014",289.834
"Jun 1, 2014",289.363
"Jul 1, 2014",289.669
"Aug 1, 2014",290.201
"Sep 1, 2014",290.822
"Oct 1, 2014",290.09
"Nov 1, 2014",289.457
"Dec 1, 2014",289.515
"Jan 1, 2015",290.175
"Feb 1, 2015",290.915
"Mar 1, 2015",291.12
"Apr 1, 2015",290.304
"May 1, 2015",290.006
"Jun 1, 2015",289.704
"Jul 1, 2015",290.43
"Aug 1, 2015",291.229
"Sep 1, 2015",291.494
"Oct 1, 2015",291.022
"Nov 1, 2015",290.094
"Dec 1, 2015",290.892
"Jan 1, 2016",292.352
"Feb 1, 2016",293.056
"Mar 1, 2016",292.815
"Apr 1, 2016",291.216
"May 1, 2016",290.276
"Jun 1, 2016",289.567
"Jul 1, 2016",289.806
"Aug 1, 2016",290.72
"Sep 1, 2016",290.754
"Oct 1, 2016",290.185
"Nov 1, 2016",289.598
"Dec 1, 2016",289.447
"Jan 1, 2017",289.721
"Feb 1, 2017",291.01
"Mar 1, 2017",290.082
"Apr 1, 2017",290.315
"May 1, 2017",289.623
"Jun 1, 2017",289.355
"Jul 1, 2017",289.323
"Aug 1, 2017",290.236
"Sep 1, 2017",290.687
"Oct 1, 2017",289.913
"Nov 1, 2017",289.471
"Dec 1, 2017",289.668
"Jan 1, 2018",289.901
"Feb 1, 2018",291.013
"Mar 1, 2018",291.056
"Apr 1, 2018",289.416
"May 1, 2018",289.339
"Jun 1, 2018",288.989
"Jul 1, 2018",289.381
"Aug 1, 2018",289.676
"Sep 1, 2018",290.442
"Oct 1, 2018",289.684
"Nov 1, 2018",289.729
"Dec 1, 2018",289.724
"Jan 1, 2019",290.895
"Feb 1, 2019",291.836
"Mar 1, 2019",290.613
"Apr 1, 2019",290.484
"May 1, 2019",290.078
"Jun 1, 2019",289.567
"Jul 1, 2019",289.628
"Aug 1, 2019",290.467
"Sep 1, 2019",290.916
"Oct 1, 2019",290.095
"Nov 1, 2019",289.821
"Dec 1, 2019",290.335
"Jan 1, 2020",291.047
"Feb 1, 2020",291.988
"Mar 1, 2020",291.352
"Apr 1, 2020",291.368
"May 1, 2020",290.978
"Jun 1, 2020",289.922
"Jul 1, 2020",289.828
"Aug 1, 2020",290.652
"Sep 1, 2020",290.84
"Oct 1, 2020",290.775
"Nov 1, 2020",289.6
"Dec 1, 2020",290.134
"Jan 1, 2021",290.482
"Feb 1, 2021",291.326
"Mar 1, 2021",290.222
"Apr 1, 2021",290.358
"May 1, 2021",289.658
"Jun 1, 2021",289.327
"Jul 1, 2021",289.591
"Aug 1, 2021",290.35
"Sep 1, 2021",290.759
"Oct 1, 2021",290.645
"Nov 1, 2021",290.039
"Dec 1, 2021",290.42
"Jan 1, 2022",290.741
"Feb 1, 2022",290.807
"Mar 1, 2022",290.315
"Apr 1, 2022",290.268
"May 1, 2022",289.488
"Jun 1, 2022",288.97
"Jul 1, 2022",288.774
"Aug 1, 2022",289.552
"Sep 1, 2022",290.296
"Oct 1, 2022",289.483
"Nov 1, 2022",289.141
"Dec 1, 2022",289.081
"Jan 1, 2023",289.029
"Feb 1, 2023",290.495
"Mar 1, 2023",289.833
"Apr 1, 2023",289.758
"May 1, 2023",289.941
"Jun 1, 2023",289.324
"Jul 1, 2023",290.092
"Aug 1, 2023",290.774
"Sep 1, 2023",291.764
"Oct 1, 2023",291.008
"Nov 1, 2023",290.353
"Dec 1, 2023",290.867
"Jan 1, 2024",292.156
"Feb 1, 2024",292.935
"Mar 1, 2024",293.207
"Apr 1, 2024",292.099
"May 1, 2024",290.866
"Jun 1, 2024",290.235
